Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,7.915000,8.000000,7.905000,7.980000,6.928104,5858800
2016-10-04,8.020000,8.110000,7.970000,7.975000,6.923764,6295800
2016-10-05,7.980000,8.015000,7.915000,7.980000,6.928104,3181400
2016-10-06,7.895000,7.940000,7.865000,7.880000,6.841286,4788400
2016-10-07,7.840000,7.840000,7.740000,7.800000,6.771832,9547000
2016-10-10,7.885000,7.990000,7.880000,7.935000,6.889036,6490000
2016-10-11,7.910000,7.925000,7.830000,7.850000,6.815241,6688400
2016-10-12,7.865000,7.970000,7.855000,7.965000,6.915082,6485400
2016-10-13,8.015000,8.355000,7.990000,8.325000,7.227628,20842400
2016-10-14,7.995000,8.020000,7.755000,7.830000,6.797877,39789400
2016-10-17,7.845000,7.915000,7.825000,7.850000,6.815241,13968600
2016-10-18,7.990000,7.990000,7.930000,7.955000,6.906400,8038200
2016-10-19,7.950000,8.005000,7.920000,7.920000,6.948071,6949600
2016-10-20,7.910000,7.910000,7.790000,7.870000,6.904207,8119200
2016-10-21,7.930000,7.995000,7.890000,7.935000,6.961229,6677800
2016-10-24,7.945000,8.035000,7.920000,7.995000,7.013867,9311200
2016-10-25,7.885000,7.895000,7.805000,7.845000,6.882274,8141400
2016-10-26,7.830000,7.845000,7.785000,7.810000,6.851570,7877600
2016-10-27,7.805000,7.805000,7.675000,7.680000,6.737523,5230000
2016-10-28,7.685000,7.740000,7.620000,7.645000,6.706818,10002600
2016-10-31,7.655000,7.690000,7.595000,7.630000,6.693659,8316000
2016-11-01,7.595000,7.645000,7.570000,7.630000,6.693659,7145200
2016-11-02,7.595000,7.610000,7.510000,7.580000,6.649795,4683400
2016-11-03,7.520000,7.535000,7.465000,7.480000,6.562067,7410600
2016-11-04,7.480000,7.580000,7.465000,7.520000,6.597157,11188000
2016-11-07,7.635000,7.670000,7.585000,7.620000,6.684886,8760400
2016-11-08,7.610000,7.630000,7.550000,7.580000,6.649795,8596800
2016-11-09,7.460000,7.460000,7.135000,7.270000,6.377837,34182400
2016-11-10,7.245000,7.260000,7.145000,7.220000,6.333973,19365400
2016-11-11,7.115000,7.270000,7.095000,7.255000,6.364678,15769000
2016-11-14,7.170000,7.170000,6.955000,7.030000,6.167290,24311200
